Date,Product Category,Product Name,Region,Sales Revenue (USD),Units Sold,Customer Segment,Customer Type,Market Share (%)
2020-01-07,Data Center,RTX 3080,North America,744039.99,2570,Educational Institutions,Business,33.64
2020-01-08,Data Center,Tesla V100,Europe,383881.22,3250,Gamers,Business,52.99
2020-01-08,AI,Tesla V100,South America,1421735.27,364,Cloud Providers,Business,47.99
2020-01-09,Gaming,RTX 3080,Europe,542297.36,731,Gamers,Business,33.65
2020-01-09,OEM,Tesla T4,APAC,290827.62,1438,Gamers,Business,43.14
2020-01-09,Gaming,Tesla V100,North America,205164.14,1284,AI Researchers,Individual,64.61
2020-01-09,OEM,Quadro P2200,South America,92132.26,4981,Educational Institutions,Business,49.43
2020-01-10,AI,Quadro P2200,APAC,1659396.38,3256,Cloud Providers,Individual,49.94
2020-01-10,AI,Quadro P2200,South America,629774.71,224,Cloud Providers,Individual,54.06
2020-01-10,Gaming,Tesla T4,Africa,1046040.96,347,AI Researchers,Business,46.51
2020-01-11,Data Center,Tesla T4,Europe,1394115.89,2591,Cloud Providers,Individual,35.66
2020-01-11,OEM,Tesla T4,South America,892040.07,4305,AI Researchers,Business,37.53
2020-01-11,AI,Tesla V100,North America,149988.75,2403,AI Researchers,Business,52.76
2020-01-11,Data Center,Tesla T4,South America,769933.91,3552,Gamers,Individual,53.18
2020-01-12,AI,Tesla V100,APAC,583444.27,3642,Gamers,Individual,59.25
2020-01-12,Gaming,RTX 4090,South America,1020789.04,154,AI Researchers,Individual,41.94
2020-01-12,AI,Quadro P2200,North America,221410.23,1723,Educational Institutions,Individual,55.96
2020-01-12,OEM,Quadro P2200,Europe,456801.41,2253,Cloud Providers,Individual,48.65
2020-01-12,Gaming,Tesla T4,Europe,123187.64,2698,Educational Institutions,Individual,48.65
2020-01-13,Data Center,RTX 4090,APAC,792927.75,3790,Cloud Providers,Individual,68.75
2020-01-13,AI,Tesla T4,Europe,593463.61,2904,Gamers,Business,43.98
2020-01-13,AI,Tesla V100,Africa,983059.63,413,AI Researchers,Business,49.08
2020-01-14,OEM,Quadro P2200,Africa,666815.89,1355,AI Researchers,Business,53.77
2020-01-14,Data Center,Tesla V100,North America,676283.24,2485,AI Researchers,Business,52.56
2020-01-14,Data Center,RTX 4090,Africa,1313912.81,908,AI Researchers,Individual,38.8
2020-01-14,AI,RTX 3080,Europe,198978.37,1583,Cloud Providers,Individual,42.7
2020-01-14,AI,Tesla V100,Middle East,1706937.47,4211,Educational Institutions,Individual,36.15
2020-01-15,AI,Tesla T4,APAC,97511.11,3481,Cloud Providers,Individual,69.54
2020-01-15,AI,RTX 3080,APAC,374510.26,2073,Educational Institutions,Individual,58.28
2020-01-15,AI,Quadro P2200,Africa,1768830.15,4843,Educational Institutions,Business,69.99
2020-01-15,OEM,Tesla T4,South America,1520838.66,2612,Gamers,Individual,36.35
2020-01-15,Data Center,Tesla T4,Africa,501484.22,442,Cloud Providers,Individual,63.64
2020-01-15,Gaming,Quadro P2200,Africa,824194.76,3535,AI Researchers,Individual,49.43
2020-01-15,AI,RTX 3080,APAC,816252.85,2855,Gamers,Individual,64.95
2020-01-15,OEM,Tesla V100,North America,827768.39,4126,Educational Institutions,Individual,43.38
2020-01-16,OEM,RTX 3080,Europe,371323.61,2414,AI Researchers,Business,42.05
2020-01-16,Data Center,RTX 4090,Middle East,1691186.24,1373,AI Researchers,Individual,49.77
2020-01-17,Data Center,RTX 4090,APAC,1316937.69,3671,Cloud Providers,Individual,67.44
2020-01-17,OEM,Quadro P2200,Middle East,1081027.85,2740,Educational Institutions,Individual,44.58
2020-01-17,Data Center,RTX 4090,Africa,1186962.58,3953,AI Researchers,Individual,56.4
2020-01-17,AI,Tesla V100,APAC,1830735.75,3022,Educational Institutions,Business,44.74
2020-01-17,AI,RTX 3080,APAC,1798333.83,3660,AI Researchers,Individual,56.53
2020-01-18,AI,RTX 4090,Europe,1492550.83,3651,Gamers,Individual,69.33
2020-01-19,Gaming,RTX 3080,APAC,126041.27,480,Cloud Providers,Individual,48.1
2020-01-19,Gaming,Tesla T4,Europe,1377874.94,2188,Cloud Providers,Business,53.87
2020-01-19,AI,Quadro P2200,APAC,605083.45,182,Educational Institutions,Business,46.0
2020-01-19,Data Center,RTX 4090,Africa,946258.3,2351,Educational Institutions,Business,63.74
2020-01-19,Gaming,RTX 4090,North America,766106.39,2731,Educational Institutions,Business,66.69
2020-01-19,Data Center,Tesla T4,Europe,1628894.2,2440,AI Researchers,Business,43.65
2020-01-19,AI,RTX 3080,South America,1548472.59,4025,Gamers,Individual,32.52
2020-01-19,Data Center,RTX 3080,Middle East,1872957.68,1938,Cloud Providers,Business,67.08
2020-01-20,Data Center,Tesla T4,South America,50604.0,4967,Gamers,Individual,54.59
2020-01-20,OEM,Quadro P2200,South America,420356.23,1196,Educational Institutions,Business,66.45
2020-01-20,AI,Quadro P2200,APAC,438679.5,4792,Educational Institutions,Individual,69.96
2020-01-20,OEM,RTX 3080,North America,1227819.92,3855,AI Researchers,Business,31.96
2020-01-21,OEM,Quadro P2200,North America,843877.78,1732,Cloud Providers,Business,36.5
2020-01-21,AI,Tesla T4,Africa,677412.25,4470,Gamers,Business,67.94
2020-01-21,AI,Tesla V100,Middle East,1768849.06,2365,Educational Institutions,Business,57.86
2020-01-22,Data Center,RTX 3080,South America,467984.24,685,Gamers,Business,41.88
2020-01-22,OEM,RTX 3080,APAC,150415.22,3999,Educational Institutions,Business,47.05
2020-01-22,AI,Tesla V100,Africa,1659731.2,4461,AI Researchers,Business,66.09
2020-01-23,Data Center,Quadro P2200,Africa,1968521.11,4728,Cloud Providers,Business,30.04
2020-01-23,Gaming,RTX 4090,Europe,871078.66,1679,Gamers,Business,31.04
2020-01-23,Gaming,RTX 3080,APAC,1077410.86,2548,Educational Institutions,Individual,33.62
2020-01-23,AI,RTX 3080,Europe,67194.69,1893,AI Researchers,Individual,54.72
2020-01-24,Data Center,RTX 3080,APAC,938856.92,770,AI Researchers,Individual,69.31
2020-01-24,AI,Tesla V100,South America,793489.46,3001,AI Researchers,Individual,54.0
2020-01-24,Gaming,RTX 4090,South America,850511.39,1782,Educational Institutions,Individual,45.41
2020-01-24,Data Center,Tesla T4,Africa,786474.13,3212,Educational Institutions,Business,32.49
2020-01-24,Data Center,Tesla V100,Europe,1072139.4,2684,AI Researchers,Individual,54.59
2020-01-24,Data Center,RTX 3080,Europe,592701.03,2493,Cloud Providers,Individual,36.98
2020-01-25,Gaming,Tesla T4,APAC,683332.29,2722,Gamers,Individual,63.67
2020-01-25,Data Center,Tesla T4,Europe,643442.91,3186,AI Researchers,Individual,36.81
2020-01-25,Gaming,Quadro P2200,North America,1143906.02,3370,Gamers,Business,65.6
2020-01-26,OEM,RTX 4090,South America,1759917.69,4562,Educational Institutions,Business,55.36
2020-01-26,Gaming,Tesla V100,North America,470553.27,4528,Gamers,Business,68.82
2020-01-26,OEM,Tesla T4,Africa,239042.65,1781,AI Researchers,Individual,67.69
2020-01-26,AI,Quadro P2200,Africa,1334205.63,622,Gamers,Individual,62.85
2020-01-27,OEM,Tesla T4,Middle East,1938871.82,4750,Educational Institutions,Individual,40.5
2020-01-27,AI,RTX 4090,South America,249792.66,4762,Educational Institutions,Business,60.69
2020-01-27,OEM,Tesla V100,South America,1062068.57,3564,Cloud Providers,Individual,36.02
2020-01-28,OEM,Tesla V100,South America,198436.93,3525,AI Researchers,Business,59.7
2020-01-28,Gaming,Tesla V100,Africa,421191.03,2142,Cloud Providers,Individual,46.29
2020-01-28,OEM,RTX 4090,Africa,975792.1,2769,AI Researchers,Business,38.5
2020-01-28,Data Center,Tesla V100,Europe,1482954.91,4750,Cloud Providers,Business,56.26
2020-01-29,Gaming,RTX 3080,APAC,1624151.52,358,Educational Institutions,Individual,51.52
2020-01-29,Gaming,RTX 3080,Africa,482001.0,3916,Educational Institutions,Business,54.51
2020-01-29,AI,RTX 4090,South America,1380780.04,1505,AI Researchers,Individual,65.53
2020-01-29,AI,RTX 4090,APAC,1901222.24,2409,Educational Institutions,Business,30.63
2020-01-30,Data Center,RTX 4090,Africa,1992598.99,493,Educational Institutions,Business,56.27
2020-01-30,AI,RTX 3080,Europe,1754918.73,2542,Gamers,Individual,66.32
2020-01-30,Gaming,RTX 3080,North America,1852905.25,4050,AI Researchers,Business,52.63
2020-01-31,Data Center,Tesla T4,APAC,1145200.46,3767,AI Researchers,Individual,36.93
2020-01-31,AI,Quadro P2200,Middle East,1617962.16,2806,Cloud Providers,Business,57.64
2020-01-31,Data Center,Tesla V100,Middle East,330292.19,2013,AI Researchers,Business,53.46
2020-01-31,AI,RTX 3080,North America,1413536.28,1544,Gamers,Business,61.38
2020-01-31,Gaming,Tesla V100,Europe,927392.45,2231,Educational Institutions,Individual,59.13
2020-01-31,OEM,RTX 3080,North America,93210.02,2362,Gamers,Individual,67.76
2020-01-31,OEM,RTX 4090,Europe,56892.77,3362,AI Researchers,Individual,31.71
2020-02-01,OEM,Tesla T4,Middle East,1372531.61,2693,AI Researchers,Individual,52.98
2020-02-01,Data Center,RTX 3080,APAC,1647867.52,1950,Gamers,Business,36.26
2020-02-01,Data Center,Quadro P2200,North America,1685307.7,1077,AI Researchers,Individual,65.04
2020-02-01,AI,Tesla T4,Europe,1322878.14,2696,Cloud Providers,Business,60.84
2020-02-01,AI,Tesla T4,Europe,349494.18,3204,Cloud Providers,Individual,67.41
2020-02-02,Data Center,RTX 3080,South America,1598187.33,2644,AI Researchers,Individual,61.07
2020-02-02,Gaming,Tesla V100,South America,93410.44,108,Gamers,Business,36.83
2020-02-02,AI,Quadro P2200,Africa,174818.1,3260,Educational Institutions,Business,36.76
2020-02-03,Gaming,RTX 3080,Africa,97632.98,3298,Gamers,Business,51.05
2020-02-04,Gaming,Tesla V100,Europe,375737.98,3193,Gamers,Individual,69.46
2020-02-04,AI,RTX 4090,APAC,1265832.71,4746,Educational Institutions,Individual,62.0
2020-02-04,AI,RTX 4090,Europe,800401.16,3319,Cloud Providers,Business,66.25
2020-02-04,OEM,Quadro P2200,Middle East,1640099.53,4123,Educational Institutions,Business,52.51
2020-02-05,AI,RTX 4090,Middle East,1110275.87,4574,Educational Institutions,Business,51.53
2020-02-05,Data Center,Quadro P2200,South America,1024016.23,1089,Educational Institutions,Business,51.09
2020-02-05,Data Center,Quadro P2200,North America,606894.51,3455,AI Researchers,Business,47.57
2020-02-06,Gaming,RTX 3080,Middle East,842475.71,4265,Gamers,Individual,50.53
2020-02-06,Data Center,RTX 4090,Africa,1658719.96,3961,Cloud Providers,Business,30.56
2020-02-06,OEM,RTX 4090,Europe,269764.89,1545,Educational Institutions,Business,41.99
2020-02-06,AI,Quadro P2200,Africa,728107.96,4472,AI Researchers,Business,47.12
2020-02-07,AI,Tesla V100,Africa,1237416.57,3729,Gamers,Individual,69.82
2020-02-07,AI,RTX 4090,APAC,130553.68,1353,Educational Institutions,Individual,62.62
2020-02-07,OEM,RTX 3080,Africa,1118378.03,1860,Cloud Providers,Individual,53.65
2020-02-07,OEM,RTX 4090,South America,929803.2,2544,Gamers,Individual,44.87
2020-02-07,Gaming,Tesla T4,APAC,914509.15,1426,AI Researchers,Individual,45.71
2020-02-07,OEM,Quadro P2200,Europe,743590.38,4031,Educational Institutions,Business,42.47
2020-02-08,AI,Tesla V100,Europe,995283.62,3730,Educational Institutions,Business,60.12
2020-02-09,Data Center,Tesla V100,Africa,1953958.73,424,Cloud Providers,Individual,38.09
2020-02-09,OEM,Quadro P2200,South America,357698.89,4842,Educational Institutions,Business,40.35
2020-02-09,Data Center,Quadro P2200,Middle East,1481199.76,1082,AI Researchers,Business,32.43
2020-02-11,OEM,Quadro P2200,APAC,909021.61,1975,Educational Institutions,Individual,30.25
2020-02-11,Data Center,Quadro P2200,Africa,765160.18,1274,Educational Institutions,Individual,46.08
2020-02-11,OEM,RTX 3080,Africa,163584.5,3726,Cloud Providers,Individual,69.2
2020-02-11,AI,Tesla V100,North America,1742549.94,2013,Gamers,Individual,46.19
2020-02-12,Gaming,Tesla V100,Africa,1203602.53,4047,Gamers,Business,34.63
2020-02-12,Gaming,RTX 3080,North America,1958883.19,3613,AI Researchers,Individual,60.44
2020-02-12,Data Center,Tesla T4,Middle East,1905993.22,4949,AI Researchers,Business,39.89
2020-02-13,AI,Tesla V100,Europe,1057136.5,1031,Cloud Providers,Business,58.69
2020-02-13,Data Center,Quadro P2200,APAC,218568.24,2579,Gamers,Business,46.47
2020-02-13,Gaming,Quadro P2200,Middle East,61514.06,1431,AI Researchers,Individual,56.39
2020-02-13,AI,RTX 3080,South America,1063098.81,1403,Gamers,Business,55.42
2020-02-14,OEM,Tesla V100,Middle East,577446.79,4809,AI Researchers,Business,59.79
2020-02-14,OEM,RTX 3080,APAC,214878.93,4402,Gamers,Business,39.09
2020-02-14,AI,RTX 3080,Europe,1281165.23,4711,Educational Institutions,Individual,34.38
2020-02-15,OEM,Tesla V100,North America,1117758.18,4402,Educational Institutions,Business,47.26
2020-02-15,Data Center,RTX 4090,Africa,265289.52,3286,Educational Institutions,Individual,69.03
2020-02-15,Data Center,Tesla T4,Middle East,1079740.4,1781,Educational Institutions,Business,63.51
2020-02-15,OEM,RTX 4090,Africa,1981500.69,1565,AI Researchers,Individual,52.85
2020-02-15,Gaming,RTX 3080,Europe,268612.28,4305,Gamers,Individual,61.3
2020-02-15,Data Center,Quadro P2200,APAC,1788216.46,1658,Cloud Providers,Business,46.96
2020-02-16,Data Center,Tesla V100,Europe,1190822.23,2048,Educational Institutions,Business,44.92
2020-02-17,OEM,Tesla T4,South America,1586400.98,689,Educational Institutions,Individual,52.92
2020-02-17,Data Center,RTX 3080,APAC,327358.49,4349,Educational Institutions,Individual,36.06
2020-02-17,Data Center,Tesla V100,North America,1396371.8,515,AI Researchers,Business,52.17
2020-02-17,OEM,Tesla V100,South America,457662.97,3571,Gamers,Individual,54.54
2020-02-18,Gaming,Tesla V100,Middle East,946421.68,3666,Educational Institutions,Individual,32.09
2020-02-18,Data Center,Quadro P2200,South America,1699615.0,3007,Gamers,Individual,62.26
2020-02-18,AI,RTX 3080,Africa,1104491.67,170,Cloud Providers,Individual,57.65
2020-02-18,AI,RTX 3080,Africa,737859.0,4343,Gamers,Business,63.99
2020-02-18,Gaming,Quadro P2200,APAC,147873.36,3380,Educational Institutions,Business,61.48
2020-02-18,Gaming,RTX 3080,South America,1258273.52,1930,Gamers,Individual,51.28
2020-02-19,AI,RTX 3080,Middle East,996990.68,2483,AI Researchers,Business,60.71
2020-02-19,Data Center,Tesla T4,Middle East,417414.91,160,Cloud Providers,Business,51.69
2020-02-19,Gaming,RTX 3080,Middle East,671727.54,870,AI Researchers,Individual,63.23
2020-02-19,AI,RTX 3080,Africa,803731.22,4303,Educational Institutions,Individual,45.5
2020-02-19,Gaming,Tesla V100,Africa,1634153.03,2412,Cloud Providers,Business,49.48
2020-02-19,Gaming,Tesla V100,Middle East,1488226.9,1778,AI Researchers,Individual,35.54
2020-02-19,OEM,Tesla V100,Africa,1487407.22,2796,Cloud Providers,Individual,62.11
2020-02-20,Data Center,RTX 4090,North America,211712.38,3998,AI Researchers,Individual,46.79
2020-02-20,Gaming,Tesla T4,Middle East,1681714.14,3055,Gamers,Business,45.78
2020-02-20,Data Center,RTX 4090,South America,1195460.24,2684,Cloud Providers,Business,47.3
2020-02-21,AI,RTX 4090,North America,1012683.93,4407,Cloud Providers,Business,32.86
2020-02-21,AI,Quadro P2200,North America,1458472.82,1113,Educational Institutions,Business,55.35
2020-02-22,Data Center,RTX 3080,North America,633513.17,1622,AI Researchers,Business,66.41
2020-02-22,Gaming,RTX 4090,Middle East,804550.9,1273,AI Researchers,Individual,31.68
2020-02-22,Data Center,Quadro P2200,Europe,980522.51,2461,AI Researchers,Individual,69.52
2020-02-22,OEM,RTX 3080,Europe,1572495.17,808,Cloud Providers,Individual,33.3
2020-02-22,AI,Tesla V100,APAC,876500.43,4656,Cloud Providers,Business,41.04
2020-02-23,AI,RTX 3080,APAC,433424.59,1434,Cloud Providers,Individual,33.24
2020-02-23,Data Center,Tesla T4,South America,1227051.8,4979,AI Researchers,Individual,41.87
2020-02-23,AI,RTX 3080,Middle East,82095.52,3076,AI Researchers,Individual,64.24
2020-02-23,OEM,Tesla V100,Africa,796010.14,2561,Gamers,Business,51.18
2020-02-25,OEM,Tesla T4,South America,504510.72,4961,Educational Institutions,Business,42.29
2020-02-26,OEM,RTX 3080,North America,841105.51,4860,Cloud Providers,Individual,38.09
2020-02-26,Gaming,RTX 3080,North America,449760.57,1934,Cloud Providers,Business,69.22
2020-02-26,Gaming,Quadro P2200,Africa,575762.86,4699,Cloud Providers,Individual,64.5
2020-02-26,AI,Quadro P2200,Europe,1479591.55,284,Gamers,Business,36.08
2020-02-27,Data Center,RTX 4090,Africa,1571259.61,3063,Educational Institutions,Business,66.65
2020-02-27,Gaming,RTX 4090,South America,377210.47,590,Cloud Providers,Individual,45.19
2020-02-27,AI,Quadro P2200,North America,318954.88,156,Educational Institutions,Individual,57.32
2020-02-27,Gaming,Quadro P2200,APAC,475174.6,2884,Gamers,Individual,43.96
2020-02-27,Data Center,Tesla V100,South America,569855.24,3288,Gamers,Individual,55.03
2020-02-27,Gaming,Quadro P2200,North America,1043299.73,695,Educational Institutions,Individual,33.89
2020-02-27,Gaming,Quadro P2200,APAC,287816.02,3164,AI Researchers,Business,59.51
2020-02-27,Data Center,Tesla V100,Africa,1299832.7,4749,Educational Institutions,Individual,39.7
2020-02-28,OEM,Tesla V100,APAC,1807296.47,431,Cloud Providers,Individual,48.78
2020-02-28,Gaming,RTX 4090,North America,1910613.52,213,Educational Institutions,Individual,58.26
2020-02-29,AI,Quadro P2200,North America,691019.28,460,Gamers,Individual,35.07
2020-03-01,AI,RTX 4090,Middle East,730625.98,4554,Cloud Providers,Individual,48.19
2020-03-01,Data Center,RTX 3080,Europe,163773.51,4353,Educational Institutions,Individual,36.83
2020-03-02,Gaming,Quadro P2200,APAC,1656171.41,4085,Educational Institutions,Business,52.63
2020-03-03,AI,RTX 4090,APAC,818720.27,1790,Gamers,Individual,61.01
2020-03-03,Gaming,Tesla T4,South America,1568170.9,3811,Cloud Providers,Business,63.62
2020-03-04,OEM,Tesla V100,Africa,1218574.36,167,AI Researchers,Individual,43.84
2020-03-04,Gaming,RTX 4090,Africa,386905.49,1763,Cloud Providers,Individual,64.54
2020-03-04,Data Center,RTX 4090,Middle East,478476.72,676,Gamers,Individual,38.96
2020-03-04,OEM,RTX 4090,Europe,1192739.5,1065,Educational Institutions,Business,31.68
2020-03-05,AI,RTX 3080,North America,979454.51,2712,Gamers,Individual,41.01
2020-03-05,AI,RTX 4090,North America,1622399.46,3395,Educational Institutions,Individual,53.47
2020-03-05,AI,RTX 3080,Africa,1200651.49,4396,Gamers,Business,39.04
2020-03-05,AI,Quadro P2200,North America,382277.65,2856,Cloud Providers,Individual,36.7
2020-03-05,Data Center,Tesla T4,North America,756956.83,4846,Cloud Providers,Individual,40.7
2020-03-06,AI,Tesla T4,South America,861961.58,3373,Gamers,Individual,42.02
2020-03-06,Data Center,Tesla T4,North America,1462189.8,4409,Cloud Providers,Individual,31.32
2020-03-07,Data Center,Tesla V100,South America,470767.23,2799,Cloud Providers,Individual,46.18
2020-03-07,Data Center,RTX 4090,Europe,182420.3,2054,Cloud Providers,Business,38.52
2020-03-07,AI,RTX 3080,Middle East,1636862.4,3757,Gamers,Business,30.82
2020-03-07,Gaming,RTX 3080,South America,887155.11,3382,Educational Institutions,Business,45.41
2020-03-07,Gaming,Quadro P2200,South America,1391509.71,2671,AI Researchers,Business,31.07
2020-03-07,OEM,Tesla T4,Middle East,1107162.89,4619,Educational Institutions,Business,50.74
2020-03-07,Gaming,Tesla V100,APAC,1245885.72,4639,Cloud Providers,Individual,42.99
2020-03-08,OEM,RTX 4090,North America,233501.27,2725,Cloud Providers,Business,32.75
2020-03-09,AI,Tesla T4,North America,1018438.64,439,Gamers,Business,55.33
2020-03-09,Data Center,Tesla V100,Middle East,378357.03,2176,Educational Institutions,Individual,43.66
2020-03-09,Data Center,RTX 4090,South America,942963.86,4329,Educational Institutions,Business,61.49
2020-03-09,OEM,RTX 3080,APAC,96886.19,1333,Educational Institutions,Business,37.91
2020-03-10,AI,RTX 3080,Africa,1647714.11,3170,Cloud Providers,Individual,43.14
2020-03-10,AI,RTX 4090,APAC,797404.52,4081,Gamers,Business,52.63
2020-03-10,Data Center,Quadro P2200,APAC,652693.83,4980,AI Researchers,Business,44.02
2020-03-10,Data Center,Quadro P2200,Africa,1636206.01,4942,Cloud Providers,Business,69.09
2020-03-10,Data Center,RTX 3080,Africa,126530.11,4857,Educational Institutions,Individual,67.61
2020-03-10,Data Center,RTX 3080,Europe,780354.15,1289,AI Researchers,Business,57.93
2020-03-10,Data Center,Quadro P2200,South America,1083196.87,1183,AI Researchers,Individual,64.12
2020-03-11,AI,Tesla V100,North America,301869.44,529,Educational Institutions,Business,42.01
2020-03-11,AI,RTX 4090,Africa,1519215.85,2932,Cloud Providers,Business,56.83
2020-03-11,Data Center,Tesla T4,APAC,773830.25,3231,AI Researchers,Business,37.33
2020-03-11,Data Center,Tesla V100,Europe,1370102.59,1209,Cloud Providers,Business,42.7
2020-03-12,Data Center,Tesla V100,Africa,543024.09,2661,Educational Institutions,Individual,45.82
2020-03-12,Data Center,Tesla T4,Middle East,1809396.37,299,Educational Institutions,Business,38.16
2020-03-12,Data Center,Tesla V100,Middle East,1639032.23,1241,Educational Institutions,Individual,30.14
2020-03-12,AI,RTX 3080,Africa,1738882.13,3963,Educational Institutions,Business,53.92
2020-03-12,Gaming,Tesla T4,Middle East,1770082.08,1331,Cloud Providers,Individual,60.75
2020-03-13,Data Center,Tesla T4,South America,1543109.93,969,Cloud Providers,Business,67.02
2020-03-14,Data Center,RTX 4090,APAC,153402.96,3786,Educational Institutions,Business,42.35
2020-03-14,AI,Quadro P2200,Africa,70405.21,1116,Gamers,Business,43.52
2020-03-14,AI,Tesla T4,Middle East,802183.84,4601,Cloud Providers,Individual,32.85
2020-03-14,AI,Tesla V100,Middle East,169253.5,3911,Cloud Providers,Business,32.95
2020-03-15,Data Center,Tesla V100,North America,405707.62,1469,Gamers,Business,47.28
2020-03-15,Gaming,RTX 3080,South America,1224378.48,1150,AI Researchers,Business,55.3
2020-03-15,AI,Tesla V100,APAC,459301.39,4904,Gamers,Business,60.44
2020-03-15,Gaming,Tesla T4,South America,850246.99,345,Cloud Providers,Individual,69.48
2020-03-15,OEM,RTX 4090,APAC,241801.66,1468,Gamers,Individual,49.9
2020-03-15,OEM,RTX 4090,APAC,88635.31,4134,Cloud Providers,Business,66.92
2020-03-15,Data Center,Quadro P2200,Europe,564230.61,617,Educational Institutions,Business,48.99
2020-03-15,Gaming,Quadro P2200,Middle East,528059.67,4743,Educational Institutions,Business,34.02
2020-03-16,Gaming,RTX 3080,South America,1084858.93,4081,AI Researchers,Business,47.34
2020-03-16,Data Center,Tesla T4,Europe,1175711.59,3800,AI Researchers,Business,54.42
2020-03-16,Data Center,RTX 4090,Europe,458675.63,3422,Gamers,Individual,35.64
2020-03-17,Data Center,RTX 4090,North America,1966061.27,3273,Gamers,Individual,42.27
2020-03-18,Data Center,Quadro P2200,Middle East,825986.78,3079,Cloud Providers,Individual,58.3
2020-03-18,AI,RTX 3080,Middle East,1631784.48,4978,AI Researchers,Individual,63.71
2020-03-18,Data Center,RTX 4090,Europe,641644.43,2716,AI Researchers,Individual,43.54
2020-03-18,Gaming,Tesla V100,North America,619765.23,1677,AI Researchers,Business,67.99
2020-03-18,Data Center,Quadro P2200,South America,1566798.38,2830,AI Researchers,Individual,58.6
2020-03-18,AI,Tesla T4,Europe,1855793.73,1398,AI Researchers,Business,38.73
2020-03-19,OEM,Tesla V100,Africa,1962923.5,2254,Gamers,Individual,66.22
2020-03-19,Gaming,Quadro P2200,Europe,931151.97,3589,Cloud Providers,Individual,36.7
2020-03-19,Data Center,Tesla V100,South America,1467351.83,1459,Cloud Providers,Individual,55.62
2020-03-19,Data Center,Tesla V100,North America,876596.13,2886,Educational Institutions,Individual,40.98
2020-03-20,OEM,Tesla T4,APAC,1473273.36,4163,Gamers,Individual,43.09
2020-03-20,AI,RTX 3080,APAC,569043.33,2235,AI Researchers,Business,67.4
2020-03-21,OEM,Tesla T4,Europe,1994202.26,562,Cloud Providers,Business,58.26
2020-03-21,AI,Quadro P2200,North America,307271.9,2360,Gamers,Individual,63.81
2020-03-21,Gaming,Tesla V100,Europe,608891.4,2425,Educational Institutions,Individual,52.75
2020-03-21,AI,RTX 3080,Middle East,209248.28,3420,Gamers,Business,48.14
2020-03-22,Gaming,Quadro P2200,Europe,753833.38,2583,Educational Institutions,Business,46.11
2020-03-22,OEM,RTX 3080,Africa,701323.8,3005,Gamers,Individual,60.24
2020-03-22,OEM,Tesla T4,South America,92955.94,1003,Cloud Providers,Business,38.3
2020-03-22,OEM,Tesla V100,South America,868981.12,327,AI Researchers,Business,34.38
2020-03-22,OEM,Quadro P2200,Africa,373273.2,257,Educational Institutions,Individual,42.78
2020-03-23,Data Center,Quadro P2200,South America,1452114.78,3415,AI Researchers,Business,31.62
2020-03-23,AI,Tesla V100,South America,143988.88,1519,Gamers,Business,36.13
2020-03-23,Gaming,RTX 3080,Middle East,71349.8,1141,Gamers,Business,54.67
2020-03-23,OEM,RTX 3080,Middle East,1054013.48,4567,AI Researchers,Individual,67.87
2020-03-23,OEM,Tesla V100,Middle East,1913958.86,4652,AI Researchers,Individual,52.17
